date,close,volume,open,high,low
3/31/15,124.43,42019420,126.09,126.49,124.355
3/30/15,126.37,46974980,124.05,126.4,124
3/27/15,123.25,39471720,124.57,124.7,122.91
3/26/15,124.24,47409610,122.76,124.88,122.6
3/25/15,123.38,51505600,126.54,126.82,123.38
3/24/15,126.69,32747200,127.23,128.04,126.56
3/23/15,127.21,37597600,127.12,127.85,126.52
3/20/15,125.9,68516180,128.25,128.4,125.16
3/19/15,127.495,45674520,128.75,129.2451,127.4
3/18/15,128.47,65118170,127,129.16,126.37
3/17/15,127.04,50891230,125.9,127.32,125.65
3/16/15,124.95,35816300,123.88,124.95,122.87
3/13/15,123.59,51744670,124.4,125.3951,122.58
3/12/15,124.45,48233270,122.31,124.9,121.63
3/11/15,122.24,68812690,124.75,124.77,122.11
3/10/15,124.51,68720360,126.41,127.22,123.8
3/9/15,127.14,88410240,127.96,129.57,125.06
3/6/15,126.6,72699680,128.4,129.37,126.26
3/5/15,126.41,56391280,128.58,128.75,125.76
3/4/15,128.54,31588480,129.1,129.56,128.32
3/3/15,129.36,37749900,128.96,129.52,128.09
3/2/15,129.09,48042680,129.25,130.28,128.3
2/27/15,128.46,61931350,130,130.57,128.24
2/26/15,130.415,91171830,128.785,130.87,126.61
2/25/15,128.79,74555120,131.56,131.6,128.15
2/24/15,132.17,69109410,132.94,133.6,131.17
2/23/15,133,73089250,130.02,133,129.66
2/20/15,129.495,48878410,128.62,129.5,128.05
2/19/15,128.45,37295460,128.48,129.03,128.33
2/18/15,128.715,44695980,127.625,128.78,127.45
2/17/15,127.83,63014110,127.49,128.88,126.92
2/13/15,127.08,53955650,127.28,127.28,125.65
2/12/15,126.46,74374630,126.06,127.48,125.57
2/11/15,124.88,73278020,122.77,124.92,122.5
2/10/15,122.02,61845390,120.17,122.15,120.16
2/9/15,119.72,37900780,118.55,119.84,118.43
2/6/15,118.93,43633660,120.02,120.25,118.45
2/5/15,119.94,42197110,120.02,120.23,119.25
2/4/15,119.56,69975180,118.5,120.51,118.309
2/3/15,118.65,51842080,118.5,119.09,117.61
2/2/15,118.63,62542440,118.05,119.17,116.08
1/30/15,117.16,83646800,118.4,120,116.85
